mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	23						
2	2	6	6	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	24						3
2	2	25/4	25/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	25						3
2	2	13/2	13/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	26						
2	2	27/4	27/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	27						
2	2	7	7	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	28						
2	2	29/4	29/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	29						
2	2	15/2	15/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	30						
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	31						
3	3	8	8	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	32						4
3	3	33/4	33/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	33						4
3	3	17/2	17/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	34						
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	35						
3	3	9	9	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	36						
3	3	37/4	37/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	37						
3	3	19/2	19/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	38						
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	39						
3	3	10	10	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	40						5
3	3	41/4	41/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	41						5
3	3	21/2	21/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	42						
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	43						
3	3	11	11	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	44						
3	3	45/4	45/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	45						
3	3	23/2	23/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	46						
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	47						
4	4	12	12	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	48						6
4	4	49/4	49/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	49						6
4	4	25/2	25/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	50						
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	51						
4	4	13	13	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	52						
4	4	53/4	53/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	53						
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	54						
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	55						
4	4	14	14	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	56						7
4	4	57/4	57/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	57						7
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	58						
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	59						
4	4	15	15	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	60						
4	4	61/4	61/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	61						
4	4	31/2	31/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	62						
4	4	63/4	63/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	63						
5	5	16	16	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	64						8
5	5	65/4	65/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	65						8
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	66						
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	67						
5	5	17	17	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	68						
5	5	69/4	69/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	69						
5	5	35/2	35/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	70						
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	71						
5	5	18	18	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	72						
5	5	73/4	73/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	73						
5	5	37/2	37/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	74						
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	75						
5	5	19	19	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	76						
5	5	77/4	77/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	77						
5	5	39/2	39/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	78						
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	79						
6	6	20	20	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	80						9
6	6	81/4	81/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	81						9
6	6	41/2	41/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	82						
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	83						
6	6	21	21	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	84						
6	6	85/4	85/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	85						
6	6	43/2	43/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	86						
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	87						
6	6	22	22	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	88						10
6	6	89/4	89/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	89						10
6	6	45/2	45/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	90						
6	6	91/4	91/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	91						
6	6	23	23	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	92						
6	6	93/4	93/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	93						
6	6	47/2	47/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	94						
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	95						
7	7	24	24	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	96						11
7	7	97/4	97/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	97						11
7	7	49/2	49/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	98						
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	99						
7	7	25	25	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	100						
7	7	101/4	101/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	101						
7	7	51/2	51/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	102						
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	103						
7	7	26	26	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	104						
7	7	105/4	105/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	105						
7	7	53/2	53/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	106						
7	7	107/4	107/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	107						
7	7	27	27	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	108						
7	7	109/4	109/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	109						
7	7	55/2	55/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	110						
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	111						
8	8	28	28	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	112						12
8	8	113/4	113/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	113						12
8	8	57/2	57/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	114						
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	115						
8	8	29	29	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	116						
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	117						
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	118						
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	119						
8	8	30	30	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	120						13
8	8	121/4	121/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	121						13
8	8	61/2	61/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	122						
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	123						
8	8	31	31	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	124						
8	8	125/4	125/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	125						
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	126						
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	127						
9	9	32	32	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	128						14
9	9	129/4	129/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	129						14
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	130						
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	131						
9	9	33	33	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	132						
9	9	133/4	133/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	133						
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	134						
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	135						
9	9	34	34	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	136						15
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	137						15
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	138						
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	139						
9	9	35	35	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	140						
9	9	141/4	141/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	141						
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	142						
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	143						
10	10	36	36	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	144						16
10	10	145/4	145/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	145						16
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	146						
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	147						
10	10	37	37	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	148						
10	10	149/4	149/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	149						
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	150						
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	151						
10	10	38	38	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	152						17
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	153						17
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	154						
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	155						
10	10	39	39	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	156						
10	10	157/4	157/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	157						
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	158						
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	159						
11	11	40	40	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	160						
11	11	161/4	161/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	161						
11	11	81/2	81/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	162						18
11	11	163/4	163/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	163						18
11	11	41	41	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	164						
11	11	165/4	165/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	165						
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	166						
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	167						
11	11	42	42	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	168						
11	11	169/4	169/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	169						
11	11	85/2	85/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	170						19
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	171						19
11	11	43	43	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	172						
11	11	173/4	173/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	173						
11	11	87/2	87/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	174						
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	175						
12	12	44	44	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	176						20
12	12	177/4	177/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	177						20
12	12	89/2	89/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	178						
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	179						
12	12	45	45	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	180						
12	12	181/4	181/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	181						
12	12	91/2	91/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	182						
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	183						
12	12	46	46	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	184						21
12	12	185/4	185/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	185						21
12	12	93/2	93/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	186						
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	187						
12	12	47	47	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	188						
12	12	189/4	189/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	189						
12	12	95/2	95/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	190						
12	12	191/4	191/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	191						
13	13	48	48	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	192						22
13	13	193/4	193/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	193						22
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	194						
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	195						
13	13	49	49	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	196						
13	13	197/4	197/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	197						
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	198						
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	199						
13	13	50	50	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	200						23
13	13	201/4	201/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	201						23
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	202						
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	203						
13	13	51	51	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	204						
13	13	205/4	205/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	205						
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	206						
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	207						
14	14	52	52	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	208						24
14	14	209/4	209/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	209						24
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	210						
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	211						
14	14	53	53	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	212						
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	213						
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	214						
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	215						
14	14	54	54	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	216						
14	14	217/4	217/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	217						
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	218						
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	219						
14	14	55	55	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	220						
14	14	221/4	221/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	221						
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	222						
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	223						
15	15	56	56	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	224						25
15	15	225/4	225/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	225						25
15	15	113/2	113/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	226						
15	15	227/4	227/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	227						
15	15	57	57	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	228						
15	15	229/4	229/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	229						
15	15	115/2	115/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	230						
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	231						
15	15	58	58	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	232						26
15	15	233/4	233/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	233						26
15	15	117/2	117/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	234						
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	235						
15	15	59	59	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	236						
15	15	237/4	237/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	237						
15	15	119/2	119/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	238						
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	239						
16	16	60	60	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	240						27
16	16	241/4	241/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	241						27
16	16	121/2	121/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	242						
16	16	243/4	243/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	243						
16	16	61	61	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	244						
16	16	245/4	245/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	245						
16	16	123/2	123/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	246						
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	247						
16	16	62	62	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	248						28
16	16	249/4	249/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	249						28
16	16	125/2	125/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	250						
16	16	251/4	251/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	251						
16	16	63	63	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	252						
16	16	253/4	253/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	253						
16	16	127/2	127/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	254						
16	16	255/4	255/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	255						
17	17	64	64	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	256						29
17	17	257/4	257/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	257						29
17	17	129/2	129/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	258						
17	17	259/4	259/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	259						
17	17	65	65	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	260						
17	17	261/4	261/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	261						
17	17	131/2	131/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	262						
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	263						
17	17	66	66	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	264						30
17	17	265/4	265/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	265						30
17	17	133/2	133/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	266						
17	17	267/4	267/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	267						
17	17	67	67	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	268						
17	17	269/4	269/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	269						
17	17	135/2	135/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	270						
17	17	271/4	271/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	271						
18	18	68	68	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	272						31
18	18	273/4	273/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	273						31
18	18	137/2	137/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	274						
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	275						
18	18	69	69	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	276						
18	18	277/4	277/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	277						
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	278						
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	279						
18	18	70	70	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	280						32
18	18	281/4	281/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	281						32
18	18	141/2	141/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	282						
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	283						
18	18	71	71	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	284						
18	18	285/4	285/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	285						
