mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
5	4	45/4	45/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	44						
5	4	23/2	23/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	45						
5	4	47/4	47/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	46						
5	4	12	12	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	47						
6	5	49/4	49/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	48						
6	5	25/2	25/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	49						
6	5	51/4	51/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	50						2
6	5	13	13	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	51						2
6	5	53/4	53/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	52						2
6	5	27/2	27/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	53						2
6	5	55/4	55/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	54						2
6	5	14	14	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	55						2
6	5	57/4	57/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	56						
6	5	29/2	29/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	57						
6	5	59/4	59/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	58						
6	5	15	15	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	59						
7	6	61/4	61/4	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	60						
7	6	65/4	65/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	61						
7	6	33/2	33/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	62						
7	6	67/4	67/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	63						
7	6	17	17	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	64						
7	6	69/4	69/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	65						3
7	6	35/2	35/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	66						
7	6	71/4	71/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	67						4
7	6	18	18	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	68						
7	6	61/4	61/4	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	69						
7	6	61/4	61/4	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	70						
8	7	73/4	73/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	71						
8	7	37/2	37/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	72						5
8	7	75/4	75/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	73						5
8	7	19	19	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	74						
8	7	77/4	77/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	75						
8	7	39/2	39/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	76						
8	7	79/4	79/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	77						
8	7	20	20	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	78						
8	7	81/4	81/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	79						
8	7	41/2	41/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	80						
8	7	83/4	83/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	81						
8	7	21	21	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	82						
9	8	85/4	85/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	83						6
9	8	43/2	43/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	84						6
9	8	87/4	87/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	85						
9	8	22	22	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	86						
9	8	89/4	89/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	87						
9	8	45/2	45/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	88						
9	8	91/4	91/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	89						
9	8	23	23	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	90						
9	8	93/4	93/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	91						
9	8	47/2	47/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	92						
9	8	95/4	95/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	93						
9	8	24	24	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	94						
10	9	97/4	97/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	95						
10	9	49/2	49/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	96						7
10	9	99/4	99/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	97						7
10	9	25	25	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	98						
10	9	101/4	101/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	99						
10	9	51/2	51/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	100						
10	9	103/4	103/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	101						
10	9	26	26	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	102						
10	9	105/4	105/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	103						
10	9	53/2	53/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	104						
10	9	107/4	107/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	105						
10	9	27	27	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	106						
11	10	109/4	109/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	107						8
11	10	55/2	55/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	108						8
11	10	111/4	111/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	109						
11	10	28	28	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	110						
11	10	113/4	113/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	111						
11	10	57/2	57/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	112						
11	10	115/4	115/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	113						
11	10	29	29	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	114						
11	10	117/4	117/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	115						9
11	10	59/2	59/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	116						
11	10	119/4	119/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	117						10
11	10	30	30	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	118						
12	11	121/4	121/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	119						11
12	11	61/2	61/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	120						11
12	11	123/4	123/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	121						
12	11	31	31	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	122						
12	11	125/4	125/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	123						
12	11	63/2	63/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	124						
12	11	127/4	127/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	125						
12	11	32	32	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	126						
12	11	129/4	129/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	127						
12	11	65/2	65/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	128						
12	11	131/4	131/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	129						
12	11	33	33	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	130						
13	12	133/4	133/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	131						12
13	12	67/2	67/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	132						12
13	12	135/4	135/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	133						
13	12	34	34	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	134						
13	12	137/4	137/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	135						
13	12	69/2	69/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	136						
13	12	139/4	139/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	137						
13	12	35	35	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	138						
13	12	141/4	141/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	139						
13	12	71/2	71/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	140						
13	12	143/4	143/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	141						
13	12	36	36	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	142						
14	13	145/4	145/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	143						
14	13	73/2	73/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	144						13
14	13	147/4	147/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	145						13
14	13	37	37	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	146						13
14	13	149/4	149/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	147						13
14	13	75/2	75/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	148						13
14	13	151/4	151/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	149						13
14	13	38	38	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	150						
14	13	153/4	153/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	151						
14	13	77/2	77/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	152						
14	13	155/4	155/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	153						
14	13	39	39	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	154						
15	14	157/4	157/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	155						
15	14	79/2	79/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	156						14
15	14	159/4	159/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	157						14
15	14	40	40	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	158						14
15	14	161/4	161/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	159						14
15	14	81/2	81/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	160						14
15	14	163/4	163/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	161						14
15	14	41	41	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	162						
15	14	165/4	165/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	163						
15	14	83/2	83/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	164						
15	14	167/4	167/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	165						
15	14	42	42	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	166						
16	15	169/4	169/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	167						
16	15	85/2	85/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	168						15
16	15	171/4	171/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	169						15
16	15	43	43	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	170						15
16	15	173/4	173/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	171						15
16	15	87/2	87/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	172						15
16	15	175/4	175/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	173						15
16	15	44	44	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	174						
16	15	177/4	177/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	175						
16	15	89/2	89/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	176						
16	15	179/4	179/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	177						
16	15	45	45	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	178						
17	16	181/4	181/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	179						
17	16	91/2	91/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	180						
17	16	183/4	183/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	181						
17	16	46	46	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	182						
17	16	185/4	185/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	183						
17	16	93/2	93/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	184						
17	16	187/4	187/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	185						
17	16	47	47	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	186						
17	16	189/4	189/4	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	187						
18	16	48	48	0.25	0	11/16	Chord	3/4	1	1	1/16	1/16	1	188						
19	17	193/4	193/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	189						
19	17	97/2	97/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	190						
19	17	195/4	195/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	191						
19	17	49	49	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	192						
19	17	197/4	197/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	193						
19	17	99/2	99/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	194						
19	17	199/4	199/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	195						
19	17	50	50	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	196						
19	17	201/4	201/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	197						16
19	17	101/2	101/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	198						
19	17	203/4	203/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	199						17
19	17	51	51	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	200						
20	18	205/4	205/4	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	201						
20	18	209/4	209/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	202						
20	18	105/2	105/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	203						
20	18	211/4	211/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	204						
20	18	53	53	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	205						
20	18	213/4	213/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	206						
20	18	107/2	107/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	207						
20	18	215/4	215/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	208						
20	18	54	54	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	209						
20	18	205/4	205/4	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	210						
21	19	217/4	217/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	211						
21	19	109/2	109/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	212						
21	19	219/4	219/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	213						
21	19	55	55	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	214						
21	19	221/4	221/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	215						
21	19	111/2	111/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	216						18
21	19	223/4	223/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	217						18
21	19	56	56	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	218						
21	19	225/4	225/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	219						
21	19	113/2	113/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	220						
21	19	227/4	227/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	221						
21	19	57	57	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	222						
22	20	229/4	229/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	223						
22	20	115/2	115/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	224						
22	20	231/4	231/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	225						19
22	20	58	58	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	226						19
22	20	233/4	233/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	227						19
22	20	117/2	117/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	228						19
22	20	235/4	235/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	229						19
22	20	59	59	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	230						19
22	20	237/4	237/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	231						
22	20	119/2	119/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	232						
22	20	239/4	239/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	233						
22	20	60	60	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	234						
23	21	241/4	241/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	235						
23	21	121/2	121/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	236						20
23	21	243/4	243/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	237						20
23	21	61	61	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	238						20
23	21	245/4	245/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	239						20
23	21	123/2	123/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	240						20
23	21	247/4	247/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	241						20
23	21	62	62	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	242						
23	21	249/4	249/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	243						
23	21	125/2	125/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	244						
23	21	251/4	251/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	245						
23	21	63	63	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	246						
24	22	253/4	253/4	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	247						
24	22	257/4	257/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	248						
24	22	129/2	129/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	249						
24	22	259/4	259/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	250						
24	22	65	65	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	251						
24	22	261/4	261/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	252						
24	22	131/2	131/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	253						
24	22	263/4	263/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	254						
24	22	66	66	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	255						
24	22	253/4	253/4	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	256						
25	23	265/4	265/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	257						
25	23	133/2	133/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	258						21
25	23	267/4	267/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	259						21
25	23	67	67	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	260						
25	23	269/4	269/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	261						
25	23	135/2	135/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	262						
25	23	271/4	271/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	263						
25	23	68	68	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	264						
25	23	273/4	273/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	265						22
25	23	137/2	137/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	266						22
25	23	275/4	275/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	267						
25	23	69	69	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	268						
26	24	277/4	277/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	269						
26	24	139/2	139/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	270						23
26	24	279/4	279/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	271						23
26	24	70	70	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	272						23
26	24	281/4	281/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	273						23
26	24	141/2	141/2	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	274						23
26	24	283/4	283/4	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	275						23
26	24	71	71	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	276						
26	24	285/4	285/4	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	277						
26	24	143/2	143/2	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	278						
26	24	287/4	287/4	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	279						
26	24	72	72	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	280						
27	25	289/4	289/4	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	281						
27	25	145/2	145/2	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	282						
27	25	291/4	291/4	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	283						
27	25	73	73	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	284						
27	25	293/4	293/4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	285						
